Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
2041-01 – ОБОРУДОВАНИЕ ОВКВ,2041-01,ОБОРУДОВАНИЕ ОВКВ,16160-13,Вентиляция,,,,
"2041 – ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ И КОНДИЦИОНИРОВАНИЕ ВОЗДУХА,2041,""ОТОПЛЕНИЕ,",,,,,,,,
"ВЕНТИЛЯЦИЯ И КОНДИЦИОНИРОВАНИЕ ВОЗДУХА"",16160-13 ,Вентиляция ,,,,",,,,,,,,
2041-01-01 – Вентиляционные установки - приточные установки,2041-01-01,Вентиляционные установки - приточные установки,16160-13,Вентиляция,,,,
"2041-01-01-01 – Приточная установка производительностью до 5 тыс. м3/час,2041-01-01-01,Приточная установка производительностью до 5 тыс. м3/час,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 403216,00"",""₽ 806432,00""",,,,,,,,
"2041-01-01-06 – Приточная установка производительностью до 45 тыс. м3/час,2041-01-01-06,Приточная установка производительностью до 45 тыс. м3/час,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 1382097,00"",""₽ 2764194,00""",,,,,,,,
"2041-01-01-04 – Приточная установка производительностью до 20 тыс. м3/час,2041-01-01-04,Приточная установка производительностью до 20 тыс. м3/час,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 733186,00"",",,,,,,,,
"2041-01-01-02 – Приточная установка производительностью до 10 тыс. м3/час,2041-01-01-02,Приточная установка производительностью до 10 тыс. м3/час,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 504064,94"",""₽ 1008129,88""",,,,,,,,
2041-01-02 – Вентиляционные установки - приточно-вытяжные установки,2041-01-02,Вентиляционные установки - приточно-вытяжные установки,16160-13,Вентиляция,,,,
"2041-01-26-19 – Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 3200 мм,2041-01-26-19,Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 3200 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 314461,00"",""₽ 628922,00""",,,,,,,,
"2041-01-23-30 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 800 мм,2041-01-23-30,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 800 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 35433,20"",",,,,,,,,
"2041-02-07-14 – Изоляция трубопроводов изделиями из вспененного каучука или аналога,2041-02-07-14,Изоляция трубопроводов изделиями из вспененного каучука или аналога,16160-13 ,Изоляция трубопроводов,м2 / m2,""500,20"",""₽ 1536,72"",""₽ 768667,34""",,,,,,,,
2041-01-10 – Прецизионный кондиционер,2041-01-10,Прецизионный кондиционер,16160-13,Кондиционирование,,,,
"2041-01-16-03 – Увлажнитель, парогенератор, блок адиабатического увлажнения – мощность от 75 кг/ч до 100 кг/ч (вес от 60 кг до 100 кг),2041-01-16-03,""Увлажнитель, парогенератор, блок адиабатического увлажнения – мощность от 75 кг/ч до 100 кг/ч (вес от 60 кг до 100 кг)"",16160-13 ,Вентиляция ,шт. / pcs,,""₽ 16557,03"",",,,,,,,,
"2041-02-01-13 – Термометр в оправе прямой или угловой,2041-02-01-13,Термометр в оправе прямой или угловой,16160-13 ,Отопление ,шт. / pcs,""8,00"",""₽ 3389,00"",""₽ 27112,00""",,,,,,,,
"2041-02-04-11 – Регистр из стальных водогазопроводных труб диаметром нитки 100 мм,2041-02-04-11,Регистр из стальных водогазопроводных труб диаметром нитки 100 мм,16160-13 ,Отопление ,м / m,""146,31"",""₽ 2252,07"",""₽ 329500,36""",,,,,,,,
"2041-01-23-20 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 560 мм,2041-01-23-20,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 560 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 10500,00"",""₽ 21000,00""",,,,,,,,
"2041-02-06-04 – Медные трубы для трубопроводов хладагента до DN80, включая все фитинги,2041-02-06-04,""Медные трубы для трубопроводов хладагента до DN80, включая все фитинги"",16160-13 ,Кондиционирование,м / m,,""₽ 5232,29"",",,,,,,,,
"2041-01-23-16 – Клапаны воздушные утепленные КВУ с электрическим или пневматическим приводом периметром: до 6800 мм,2041-01-23-16,Клапаны воздушные утепленные КВУ с электрическим или пневматическим приводом периметром: до 6800 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 42299,03"",",,,,,,,,
"2041-01-23-09 – Клапаны обратные: периметром до 1000 мм,2041-01-23-09,Клапаны обратные: периметром до 1000 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 6806,70"",",,,,,,,,
2041-02-11 – Тепловые пункты,2041-02-11,Тепловые пункты,16160-13,Теплоснабжение,,,,
"2041-01-23-13 – Клапаны обратные: периметром до 4500 мм,2041-01-23-13,Клапаны обратные: периметром до 4500 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 36066,35"",",,,,,,,,
