Passport_Record_ID,Project,Year_Quarter_Month_Week_ID,Month_Key,BOQ,BOQ_Name,IWP_ID_EXPORT,System_Label,Unit of Measure,Unit_Price,Plan_Qty_Month,Plan_PV_WorkValue_auto,Plan_Work_Start_Date,Plan_Work_Finish_Date,Facility_Building.,crew,Construction_Discipline.,Budget_Status
"MP-February-2026-BOQ ""1470-01-04-01.ТС  –  Трубы из углеродистой стали, до Ду 32, включая все фитинги""-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4",PRJ_001_БХК,2026-Q1-02-W05,February-2026,1470-01-04-01.ТС,"Трубы из углеродистой стали, до Ду 32, включая все фитинги",БОВ-1-13-Т-36,"AHU-002, 005, 004",м / m,"₽2776,04",,,1 Февраля 2026 г.,28 Февраля 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
"MP-February-2026-BOQ ""1470-01-04-02  –  Трубы из углеродистой стали, до Ду 63, включая все фитинги""-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4",PRJ_001_БХК,2026-Q1-02-W05,February-2026,1470-01-04-02,"Трубы из углеродистой стали, до Ду 63, включая все фитинги",БОВ-1-13-Т-36,"AHU-002, 005, 004",м / m,"₽5365,00",,,1 Февраля 2026 г.,28 Февраля 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
MP-February-2026-BOQ 1470-03-02-01.ТС  –  Монтаж ЗРА DN 15 (металл)-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4,PRJ_001_БХК,2026-Q1-02-W05,February-2026,1470-03-02-01.ТС,Монтаж ЗРА DN 15 (металл),БОВ-1-13-Т-36,"AHU-002, 005, 004",шт. / pcs,"₽3168,72",,,1 Февраля 2026 г.,28 Февраля 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
MP-February-2026-BOQ 1470-03-02-04.ТС  –  Монтаж ЗРА DN 32 (металл)-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4,PRJ_001_БХК,2026-Q1-02-W05,February-2026,1470-03-02-04.ТС,Монтаж ЗРА DN 32 (металл),БОВ-1-13-Т-36,"AHU-002, 005, 004",шт. / pcs,"₽3600,00",,,1 Февраля 2026 г.,28 Февраля 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
MP-February-2026-BOQ 1470-03-02-06.ТС  –  Монтаж ЗРА DN 50 (металл)-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4,PRJ_001_БХК,2026-Q1-02-W05,February-2026,1470-03-02-06.ТС,Монтаж ЗРА DN 50 (металл),БОВ-1-13-Т-36,"AHU-002, 005, 004",шт. / pcs,"₽4100,32",,,1 Февраля 2026 г.,28 Февраля 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
MP-February-2026-BOQ 1470-03-02-07  –  Монтаж ЗРА DN 65 (металл)-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4,PRJ_001_БХК,2026-Q1-02-W05,February-2026,1470-03-02-07,Монтаж ЗРА DN 65 (металл),БОВ-1-13-Т-36,"AHU-002, 005, 004",шт. / pcs,"₽4350,00",,,1 Февраля 2026 г.,28 Февраля 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
"MP-March-2026-BOQ ""1470-01-04-02  –  Трубы из углеродистой стали, до Ду 63, включая все фитинги""-16160-13 -БОВ-1-13-Т-36 • Титул 16160-13 • Теплоснабжение-АСИ-4",PRJ_001_БХК,2026-Q1-03-W09,March-2026,1470-01-04-02,"Трубы из углеродистой стали, до Ду 63, включая все фитинги",БОВ-1-13-Т-36,"AHU-002, 005, 004",м / m,"₽5365,00","70,000","₽   375550,00",1 Марта 2026 г.,20 Марта 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
"MP-March-2026-BOQ ""1470-01-04-03  –  Трубы из углеродистой стали, до Ду 100, включая все фитинги""-16160-13 -БОВ-1-13-Т-35 • Титул 16160-13 • Теплоснабжение-АСИ-4",PRJ_001_БХК,2026-Q1-03-W12,March-2026,1470-01-04-03,"Трубы из углеродистой стали, до Ду 100, включая все фитинги",БОВ-1-13-Т-35,"AHU-003, 001",м / m,"₽8125,00","75,100","₽   610187,50",21 Марта 2026 г.,31 Марта 2026 г.,16160-13 ,АСИ-4,Теплоснабжение,Approved - Утверждено
"MP-February-2026-BOQ ""1470-01-04-01  –  Трубы из углеродистой стали, до Ду 32, включая все фитинги""-16160-13 -БОВ-1-13-O-33 • Титул 16160-13 • Отопление-АСИ-5",PRJ_001_БХК,2026-Q1-02-W06,February-2026,1470-01-04-01,"Трубы из углеродистой стали, до Ду 32, включая все фитинги",БОВ-1-13-O-33,Ветка №5,м / m,"₽2776,04",,,4 Февраля 2026 г.,6 Февраля 2026 г.,16160-13 ,АСИ-5,Отопление ,Approved - Утверждено
MP-February-2026-BOQ 1470-03-02-01  –  Монтаж ЗРА DN 15 (металл)-16160-13 -БОВ-1-13-O-33 • Титул 16160-13 • Отопление-АСИ-5,PRJ_001_БХК,2026-Q1-02-W06,February-2026,1470-03-02-01,Монтаж ЗРА DN 15 (металл),БОВ-1-13-O-33,Ветка №5,шт. / pcs,"₽3168,72",,,4 Февраля 2026 г.,6 Февраля 2026 г.,16160-13 ,АСИ-5,Отопление ,Approved - Утверждено
